"author";"first 3-gram";"second 3-gram";"third 3-gram";"fourth 3-gram";"fifth 3-gram"
"Jeffy Chen";"signedoffby jeffy chen";"jeffy chen <jeffychen@rockchipscom>";"s21mountallsh fix oem";"without a vaild";"will auto format"
"Weixin Zhou";"weixin zhou <zwx@rockchipscom>";"usb configfs changeid";"signedoffby weixin zhou";"s50usbdevice add acm";"ibc7bd93282d4e7297540f1b2850087904d9fb6e0 signedoffby weixin"
"jkand.huang";"support for mtd";"signedoffby jkandhuang <jkandhuang@rockchipscom>";"mtd changeid i49860201369e277fb5795d701b737a85b2e4edb5";"i49860201369e277fb5795d701b737a85b2e4edb5 signedoffby jkandhuang";"for mtd changeid"
"yuyongzhen";"merge ""s21mountallsh support";"ubifs for mtd""";"support ubifs for";"support mtd devices""";"support for mtd"""
"Hunter Young";"topic back to";"renamed topic back";"back to default";"";""
"KRealm Web Services";"restarted from scratch";"";"";"";""
"Ramazan Celep";"up by learn";"backed up by";"automatically backed up";"";""
"Christopher Jospeh Stryker";"updates from ah";"mvp and updates";"and updates from";"";""
"roboticslab";"tunned red autonomous";"to almost work";"red autonomous to";"fine tunned red";"autonomous to almost"
"Anders Aamodt";"of https//githubcom/autonomousorganization/ao into";"https//githubcom/autonomousorganization/ao into p2pao";"merge branch 'mobileexperience'";"branch 'mobileexperience' of";"'mobileexperience' of https//githubcom/autonomousorganization/ao"
"Guligena Aierken";"request #20 from";"pull request #20";"merge pull request";"gaierken/html delete for";"from gaierken/html delete"
"Robbie Gay";"read through hooks";"robbiegay/dev read through";"request #3 from";"pull request #3";"merge pull request"
"Peter Barker";"test for accelerometer";"for accelerometer pose";"autotest add test";"add test for";"accelerometer pose calibration"
"byte[]";"fix channel creation";"channel creation errors";"";"";""
"Cory Henderson";"request for rooms";"axios request for";"to front end";"send rooms to";"rooms to front"
"Steven Zhu";"up by learn";"backed up by";"automatically backed up";"";""
"Michael Park";"existing merge commits";"with m# m#";"will be in";"weird gitpython bug";"track merges counts"
"Flutterlice";"wrong url in";"using config url";"url instead of";"url in activity";"repository using config"
"akircher";"woocommerce api endpoint";"fix woocommerce api";"";"";""
"Sergei Gerasenko";"ability to run";"within a spec";"to run rspec";"to run against";"to reflect the"
"LambdAurora";"wip of chording";"of chording and";"construction wip of";"chording and next";"and next release"
"Dwight Hubbard";"merge pull request";"yahoo/ci_cleanups pep8 updates";"yahoo fork merge";"the plugins once";"sync to dwighthubbard/hostlists"
"Michael Overmeyer";"switched broken pypipin";"pypipin badges to";"broken pypipin badges";"badges to shieldsio";""
"dhubbard";"yahoo changes #";"setuppy # toxini";"readmerst # hostlists/__init__py";"merging in yahoo";"in yahoo changes"
"Austin Gill";"trailing return types";"tests sharedstatic libraries";"return types </3";"remove template placeholders";"parse hpp header"
"Kesav Kadalazhi";"merge branch 'bettercode'";"added more pipes";"";"";""
"charlesdanner";"merge pull request";"request #34 from";"request #33 from";"pull request #34";"pull request #33"
"John Carver";"to edit profile";"signup page added";"services input to";"regex on signup";"profile and clans"
"shawngway";"request #35 from";"pull request #35";"profile clan added";"merge pull request";"johncdev/profileclanaddedfields profile clan"
"ShawnG";"thegrid custom images";"images by unknown";"custom images by";"";""
"Kaylee";"completed step 4";"";"";"";""
"Thomas Roberts";"renamed message variables";"";"";"";""
"Jun Mark Torii";"the add item";"strings and create";"localized strings and";"item view controller";"fix localized strings"
"mobile-bungalow";"up of replies";"replies for mobile";"replies but really";"replies #87 *";"refactor * clean"
"amoore2600";"files via upload";"add files via";"";"";""
"enpuyou";"to the message";"to be consistent";"message to be";"line too long";"font color to"
"Ivan Shcheklein";"tsx according to";"ts and tsx";"top menu styles";"to the prettierrc";"to align with"
"AhmedOsama";"files via upload";"add files via";"";"";""
"davisc0801";"layouts and breakpoints";"finalize card layouts";"card layouts and";"";""
"Kent Roth";"up the edit";"the edit ticket";"hooking up the";"edit ticket page";""
"Joshua Gorospe";"updated the robotframeworktestassistant";"the robotframeworktestassistant package";"";"";""
"123d-com";"files via upload";"add files via";"";"";""
"Mariano de Deus";"troka kor ba";"kor ba tabela";"";"";""
"Christopher Lakey";"tweaks to exec";"to exec model";"request #190 from";"pull request #190";"merge pull request"
"Mike King";"style login/out/signup forms";"poking around with";"navbar fix &";"login/out/signup forms navbar";"forms navbar fix"
"Robert Cochran";"udon for sora";"sub udon for";"sora in 12/31";"in 12/31 tidal";"for sora in"
"Alan Da Costa";"update modelsmd fix";"typos and improve";"modelsmd fix typos";"improve some wording";"fix typos and"
"Dan Frost";"user reducer and";"root + user";"reducer and store";"finished signin handler";"+ user reducer"
"dokyan1989";"finished bootcamp apis";"";"";"";""
"batmanwgd";"of the project";"beginning of the";"";"";""
"Kyle Biggs";"cleaning out wayland";"";"";"";""
"Michael Sanders";"use bat as";"manpager see https//githubcom/sharkdp/bat#man";"bat as manpager";"as manpager see";"add & run"
"mandeep489";"delete capstone projectpptx";"delete capstone projectipynb";"";"";""
"Pierre-Marie Pédrot";"adapt wrt coq/coq#11338";"request #256 from";"pull request #256";"pr #11325 [refman]";"ppedrot/rmglobalusesevd adapt wrt"
"Kazeem Onisarotu";"page step 13";"page added onboarding";"onboarding page step";"onboarding page added";"featureadd onboarding page"
"youssef muhamad";"to automate styleguide";"prettier to automate";"eslint and prettier";"configure eslint and";"automate styleguide formatting"
"Bruno S Bertolani";"update routes models";"routes models and";"module update routes";"models and database";"checkin module update"
"Yona Appletree";"removed commented block";"";"";"";""
"Joe Garcia, CISSP";"split domain &";"queries for services";"local queries for";"for services #117";"fix #83 split"
"7ma7X";"2019 > 2020";"up 2019 >";"";"";""
"MicrocosEm";"add a readme";"";"";"";""
"CoryBorek";"merge branch 'master'";"branch 'master' into";"'master' into release";"";""
"Zachary Rondos";"xcode to your";"to your github";"your github account";"xcode_and_githubmd here is";"tutorial on connecting"
"andrew";"refactored python_alias into";"python_alias into shell_init";"";"";""
"Keks";"heavy_check_mark сборка #7";"";"";"";""
"CorneliaKelinske";"working on the";"trying some stuff";"the saddle_points exercise";"saddle_points exercise just";"on the saddle_points"
"Ben Parli";"update tokio/async *";"update tokio #4";"tokio/async * fix";"tokio #4 *";"syncing * bump"
"Jeremy Evans";"set things up";"";"";"";""
"szabolaszlo";"admin area security";"";"";"";""
"Tommy Chiang";"fix layout problem";"";"";"";""
"Angel_Kitty";"request #635 from";"pull request #635";"ototot/master fix layout";"merge pull request";"from ototot/master fix"
"Rick Marry";"year to be";"when choosing indices";"to be considered";"the entire year";"that causes the"
"Ivan Acosta-Rubio";"tue dec 31";"dec 31 185501";"31 185501 cst";"185501 cst 2019";""
"Conversation Learner Build";"v050114 [skip ci]";"update samples 276";"samples 276 https//circlecicom/gh/microsoft/conversationlearner/276";"publish v050114 [skip";"chorerelease publish v050114"
"buildmaster";"sync docs from";"master to ghpages";"from master to";"docs from master";""
"Jackie";"the person class";"merge pull request";"will run the";"the program class";"separating the person"
"Mina";"files via upload";"add files via";"";"";""
"Robert Brisita";"adding run instructions";"";"";"";""
"Alecia Vogel";"for the host";"storejs for the";"refactor appjsx for";"reducer for the";"appjsx for the"
"Pieter Schutz";"two new vagabonds";"to new factions";"switch to new";"start of changes";"remove prints and"
"Eldinnie";"request #6 from";"pull request #6";"newstuff into master";"merge pull request";"merge newstuff into"
"nicktackes";"with mkdocs version";"mkdocs version 104";"trial to sdk";"trial added to";"private trial to"
"gccunanan";"completed basic blog";"basic blog app";"";"";""
"Charles_Kawczynski";"fix/clean some docs";"";"";"";""
"bors[bot]";"some docs r=charleskawczynski";"skip][skip ci][skip netlify]";"r=charleskawczynski a=charleskawczynski coauthoredby";"merge #194 194";"fix/clean some docs"
"Terence Chang";"where stop geometry";"when computing end";"trip times and";"to end trip";"times and scanning"
"Alvaro";"sobre aceites mas";"mucha informacion sobre";"mas informacion actualizada";"informacion sobre aceites";"informacion actualizada 2019"
"Johnny Hu";"tags category impressions";"add tags category";"";"";""
"TylerSpaulding";"user profile picture/";"profile picture/ usernames";"adding user profile";"";""
"Taylor Cooke";"adding base files";"";"";"";""
"Brad";"merge pull request";"merge branch 'master'";"branch 'master' into";"'master' into master";"tommys and brads"
"Eddie Gomez";"to date with";"with brad dec";"variable to const";"var variable to";"update to date"
"Eddie Gómez";"merge pull request";"request #20 from";"request #19 from";"pull request #20";"pull request #19"
"Joe";"links and formatting";"fix links and";"";"";""
"Alrik Firl";"tower properties and";"properties and modifiers";"other tower properties";"adding other tower";""
"Alex Kwiatkowski";"account_id > credential_id";"wip rename assetbalance";"venueasset_balances > accounts";"update test name";"update boot to"
"shredofpiece";"smaller ones and";"reimplementing debug level";"reimplementing boost ptr_list";"ptr_list faulty documentation";"ones and minor"
"bbxyard";"+ auto test";"";"";"";""
"Couchbase Build Team";"couchbaseliteandroid 280 build";"build 28036 2019/12/31";"28036 2019/12/31 165515";"280 build 28036";"2019/12/31 165515 pst"
"Anthony Mattson";"url to the";"to the readme";"the readme file";"the project url";"project url to"
"Tzung-Chien";"update pedia simulator";"update cadd file";"rename preprocesspy to";"preprocesspy to pediapy";"log in snakefile"
"beginor";"import appshared module";"format app shared";"";"";""
"Adam Porter";"docs add screenshots";"to get rules";"how to get";"docs how to";""
"mrz1836";"to customize the";"the cookie name";"customize the cookie";"ability to customize";""
"jacob guin";"markus wants code";"";"";"";""
"HaNaK0";"wrote game instead";"instead of engine";"game instead of";"";""
"Roberto Abdelkader Martínez Pérez";"thread and queue";"entity base class";"class thread and";"base class thread";"and queue logic"
"Vina Melody";"request #8 from";"pull request #8";"merge pull request";"iosconfsg/createfeedback submit feedback";"from iosconfsg/createfeedback submit"
"jaredbucko";"to createpdf function";"promise to createpdf";"added promise to";"";""
"Seyhan Halil";"worked on match";"stats command not";"returning found profiles";"profiles consoles fix";"price for items"
"Chenna Kautilya";"ol numbering in";"numbering in telugu";"added ol numbering";"";""
"Birger Evansson";"request #243 from";"pull request #243";"merge pull request";"from birgerev/multithreading multithreading";"#243 from birgerev/multithreading"
"Julian";"up by learn";"backed up by";"automatically backed up";"";""
"Per Bergland";"usetracker reactmeteordata 200";"reactmeteordata 200 or";"or later #41318";"add usetracker reactmeteordata";"200 or later"
"AlCalzone";"to the adapter";"the adapter interface";"getobjectlist[async] to the";"add getobjectlist[async] to";"adapter interface #41272"
"Kevin Brown";"some field config";"field config options";"config options #41203";"added some field";""
"Rudi Chen";"updates typings to";"update 9 #41102";"typings to update";"to update 9";""
"Honza Kalfus";"type definitions for";"improved type definitions";"definitions for reactwidgets";"whole react but";"what's needed *"
"Peter Matta";"update reactnativezeroconf types";"types to v011";"to v011 #41284";"reactnativezeroconf types to";""
"Grimmer";"typepojotomixed to mongoose";"to mongoose schemaoptions";"mongoose schemaoptions #41290";"add typepojotomixed to";""
"pheromonez";"with promise support";"was created with";"update [google__maps] *";"types * apply";"type for googlemapsclientwithpromise"
"Matteo Frana";"uncheckedchildren are optional";"checkedchildren and uncheckedchildren";"and uncheckedchildren are";"version number *";"type tresult *"
"Thomas Sondergaard";"values of nargs";"useful docs for";"used multiple times";"tuple to metavar";"to metavar specifies"
"alexander diaz";"up by learn";"backed up by";"automatically backed up";"";""
"Mulang Su";"tried to fixed";"tried out the";"to fixed a";"the custom view";"out the custom"
"Dave Thomas";"testing and committed";"import_experts to firestore";"finalized testing and";"committed import_experts to";"and committed import_experts"
"Lili-Mae Edwards";"up by learn";"backed up by";"automatically backed up";"";""
"Antonio Mata";"required in packagejson";"recycle add engines";"engines required in";"add engines required";""
"Natalie Tapias";"them as buttons";"takes in an";"strings as a";"prop and displays";"of strings as"
"Sen";"leetcode problem solved";"#844 leetcode problem";"";"";""
"Delfio";"tabelas e funções";"novas tabelas e";"nos index e";"index e novas";"e novas tabelas"
"Jessica Triana";"up by learn";"backed up by";"automatically backed up";"";""
"Lucas";"zap transformed the";"white_check_mark updated tests";"updated tests for";"transformed the logger";"the logger object"
"neonexe";"update and rename";"to [a]abstract entertainment";"test sheet1 1csv";"sheet1 1csv to";"rename auto data"
"Madeleine Malmsten";"work in progress";"";"";"";""
"Alessandro";"fix wrong arguments";"";"";"";""
"kimseonghyeon96";"다중 alert 수정";"기초정보입력 다중 alert";"";"";""
"imcoddy";"with build 112";"update gitbook by";"travisci with build";"gitbook by travisci";"by travisci with"
"Joshua Studt";"to handle changetrackingstrategy";"to decide how";"tests now passing";"successfully need to";"resolving extension successfully"
"CarlLazarus";"add branch text";"text test branching";"test branching using";"branching using readmemd";"branch text test"
"dev-yakuza";"update day 10";"";"";"";""
"Eddie";"minimum cost connect";"cost connect sticks";"";"";""
"kiwixz";"visual studio code";"ide visual studio";"add ide visual";"";""
"RevonZev";"👌 improve golden";"sword pickup reset";"pickup reset timer";"improve golden sword";"golden sword pickup"
"yaoye-docker";"request #1 from";"pull request #1";"merge pull request";"from yaoyedocker/readmeedits readmeedits";"#1 from yaoyedocker/readmeedits"
"Andrew Koebbe";"work is needed";"with updating doctrine";"will be quickly";"updating doctrine schema";"ui more work"
"Sean Morris";"recursive tests run";"";"";"";""
"Brian Andress";"sector fix instructions";"merge branch 'master'";"branch 'master' of";"boot sector fix";"add boot sector"
"SchizoDuckie";"setup and icon";"linux setup and";"icon fixes #632";"fix linux setup";"and icon fixes"
"Garfield69";"the progress bars";"and add a";"wordwrap torrent_files in";"with deluge and";"which returns undefined"
"Js41637 ftw";"torrentdialog checkboxes in";"put torrentdialog checkboxes";"checkboxes in collapse";"";""
"garfield69";"publishers as at";"listeners and publishers";"events listeners and";"as at v114";"and publishers as"
"Connor Wong";"trying to add";"to specfic folders";"to add route";"specfic folders page";"route to specfic"
"brad vanderbush";"started express session";"sessions and now";"session authenticate adding";"page added sessions";"login page added"
"BartechSpaceship";"fixed get call";"";"";"";""
"Rahulnsharma45";"adding media queries";"";"";"";""
"hkw";"update link to";"to sdetautomation and";"sdetautomation and update";"link to sdetautomation";"and update test"
"HITalexwang";"input_encoder for easyfirstv2";"add input_encoder for";"";"";""
"Hong Xu";"add exception handling";"use durable functions";"typos in xml";"typos found in";"tune code for"
"Ben Holloway";"refactor join function";"";"";"";""
"alex-bul";"add saving checkbox";"";"";"";""
"Don McCaughey";"wrap to 80";"with ""cevox"" and";"to wrap to";"to `cevoxorg` reformatted";"to 80 columns"
"nakaokagabriel";"to create students";"functionality to create";"added functionality to";"";""
"Nakaoka";"to create students";"request #22 from";"pull request #22";"nakaokagabriel/registerstudent added functionality";"merge pull request"
"dk";"merge branch 'develop'";"of https//githubcom/fundito/funditoandroid into";"https//githubcom/fundito/funditoandroid into develop";"funding toolbar revise";"branch 'develop' of"
"MJ Studio";"of https//githubcom/fundito/funditoandroid into";"merge branch 'dk'";"merge branch 'develop'";"https//githubcom/fundito/funditoandroid into develop";"branch 'dk' into"
"mika";"to activate recent";"recent grid if";"key to activate";"if empty search";"grid if empty"
"Sixtomaster";"las listas compartidas";"visualizar las listas";"visual pero funcionando";"via upload esta";"version de la"
"MypDNS";"from ci runner";"commit from ci";"ci] commit from";"[skip ci] commit";""
"Elliot Haisley";"start e820 paging";"";"";"";""
"dhrumpy";"to the keyword";"the keyword name";"the data pertaining";"pertaining to the";"data pertaining to"
"Alex Forrence";"touchy as all";"only run once";"maybe deal w";"first try cibuildwheel";"deal w linux"
"Brady Pascoe";"remove uneeded file";"chore remove uneeded";"";"";""
"Jerry Hong";"view add real";"the last slide";"the bugginess of";"real explanations and";"public view add"
"Nischal Hada";"quizbutton and quizresult";"implemented quizbutton and";"request #2 from";"pull request #2";"merge pull request"
"Caesar Ladion";"to checkout method";"service address to";"catalog service address";"address to checkout";"added catalog service"
"NUR-HADI-E41181216";"menambahkan admin ke";"admin ke simbafix";"";"";""
"Anthony Petre";"to the pipeline";"stage to the";"deployment stage to";"add a deployment";"a deployment stage"
"Stephen Ibanez";"updated nn inference";"types and more";"to make it";"the application looks";"test to make"
"Taishawn King";"up by learn";"backed up by";"automatically backed up";"";""
"Leandro Santos de Carvalho";"incompatibilidades de versões";"algumas incompatibilidades de";"";"";""
"Khan Baykaner";"bugfix missing include";"";"";"";""
"Yatzii";"to correct id";"playmusic to correct";"illidan change playmusic";"change playmusic to";""
"Orwill Towne";"support to setupsh";"podman support to";"add podman support";"";""
"Erik Wramner";"merge pull request";"wrong set options";"with container name";"use docker inspect";"set options in"
"Nick Pappas";"'master' of githubcomtomav/dockermailserver";"wrong set options";"with smtp_only=1 allow";"with container name";"use docker inspect"
"Michael Graeb";"use random filenames";"to avoid collision";"tests use random";"random filenames to";"log tests use"
"Alexander C";"let's just do";"just do it";"do it ourselves";"";""
"thutasein";"add css website";"";"";"";""
"ctrl-i";"data for 20200101";"updating the flight";"updating the car";"the flight data";"the car data"
"Izaak van Dongen";"problem and add";"fix problem and";"and add foot";"";""
"Peyton Sonnefeld";"with morty library";"scroll with morty";"overflow scroll with";"";""
"elbaro";"update generatesh absolute";"path for aspects_dir";"generatesh absolute path";"absolute path for";""
"Баранцев Степан";"separated cli classes";"into separate files";"cli classes into";"classes into separate";"added cli_helper class"
"joanlb";"works for real";"tag who knew";"small is a";"real html tag";"ok 5am it"
"Andrew Griswold";"deleted react icon";"";"";"";""
"Andy Crocker";"shadow listing view";"add shadow listing";"";"";""
"Josh Rolstad";"adding ability to";"ability to get";"to get repositories";"to get build";"get build and"
"Dannon";"user store module";"request #8813 from";"pull request #8813";"nerdinacan/current_user_store clientside current";"merge pull request"
"mvdbeek";"writing tests now";"would need to";"work as intended";"when first accessing";"went into dev"
"Nicola Soranzo";"resolution if `docker";"if `docker images`";"fail container resolution";"don't fail container";"container resolution if"
"guerler";"in installation monitor";"wrapper around loading";"use installation button";"unused wrapper around";"toolshed services add"
"Björn Grüning";"revert ""[1909] fix";"parent instance error";"instance error in";"fix detached parent";"error in 8769"""
"Husen Lokhandwala Home";"table searchadmin profile";"searchadmin profile and";"profile and issue";"and issue book";"added table searchadmin"
"hkamran490";"syso statement for";"statement for stack";"sprites can be";"removed syso statement";"for stack pops"
"Sixeye";"redaction libre crud";"making redaction libre";"";"";""
"lzg";"updated 20200101 085607";"site updated 20200101";"";"";""
"Zevest";"test fixed missing";"pjfx test project";"missing import added";"issue and added";"import added pjfx"
"matrayu";"updated all route";"to be more";"route code to";"code to be";"be more legible"
"Aditya Ekawade";"organize associated gtr";"associated gtr genes";"";"";""
"Garrett Henderson-Tjarks";"ui stuff for";"stuff on the";"stuff for inputs";"some stuff on";"on the ui"
"Panzerhandschuh";"to data structure";"parse of coli";"of coli file";"full parse of";"file to data"
"Chris Danis";"ua running on";"traffic from one";"this reverts commit";"search api traffic";"running on aws"""
"Adith Widya Pradipta";"the btn in";"of layout component";"layout component and";"initial creation of";"creation of layout"
"Ken Galliher";"for compress log";"compress log table";"check for compress";"add check for";""
"sajad1993gh";"uploaded new resume";"";"";"";""
"yshah43";"files via upload";"add files via";"";"";""
"MistleHC";"тесты контролера пользователя";"junit тесты контролера";"";"";""
"Tobi Ola";"uploaded previous code";"";"";"";""
"csimal";"happy new year";"";"";"";""
"hyago";"tratamento de exeção";"";"";"";""
"travis";"from commit bce5c64b3fdb726e9ba42f1b9bb09c17d350476a";"built from commit";"";"";""
"Manasa Vesala";"with different types";"validation with different";"types of parentheses";"different types of";""
"Elian Wonhalf";"with the new";"translator engine and";"the new translator";"new translator engine";"fixed a couple"
"Matthew J. Hughes";"templates and hooked";"out html templates";"html templates and";"hooked up sass";"building out html"
"David Wendt";"test for `xmlparsexml`";"convenience method `xmlnodeinto_string`";"add test for";"add a convenience";"a convenience method"
"Gabriel Woitechen";"set git's coreignorecase";"git's coreignorecase to";"coreignorecase to false";"chore set git's";""
"markcruse";"show/hide continue button";"add show/hide continue";"";"";""
"ephellon";"update packages and";"packages and urls";"";"";""
"Oleg Agafonov";"wrong images download";"images fixed wrong";"images download for";"for 6ed set";"fixed wrong images"
"zooduck";"util so that";"util class to";"use daylight hours";"to the averageratingmodifierforday";"to get daylight"
"FlightlessMango";"vulkan' for stats";"for stats table";"add 'windows vulkan'";"'windows vulkan' for";""
"George Alan";"inicio do desafio";"final da semana";"do desafio final";"desafio final da";"da semana 6"
"ermiry";"web cerver example";"base web cerver";"added base web";"";""
"nice0001-angelo";"legacy html delete";"";"";"";""
"Derek Shigetomi";"to about me";"tilt effect to";"effect to about";"added tilt effect";"about me image"
"Jason Nelson";"remove lazy class";"";"";"";""
"maciacco";"file + add";"configuration file +";"add resolution histograms";"add configuration file";"+ add resolution"
"Jeffrey Davis";"the contact page";"removed the contact";"";"";""
"hunter-heidenreich";"more counts and";"hashing of bills";"counts and hashing";"and hashing of";"add more counts"
"wahidibrahimy";"project is ready";"my project is";"";"";""
"Bhagavandas";"nordic fix/disconnect wait";"fix/disconnect wait logic";"";"";""
"Ryan Davis";"signedoffby ryan davis";"ryan davis <zenspider@chefio>";"metaprogramming from controlevalcontext";"methods look like";"all metaprogramming from"
"PikalaxALT";"in markov command";"fast cog load/reload";"consumerest in markov";"cog load/reload commands";""
"Dylan K";"request #8 from";"pull request #8";"merge pull request";"from dmkite/homeimage add";"dmkite/homeimage add svg"
"ibercovich";"public as root";"new public as";"";"";""
"codeHusky";"rc2 fixes duped";"keys being allowed";"fixes duped keys";"duped keys being";""
"Kasaract";"error page structure";"add error page";"add about page";"";""
"Corey Farrell";"support native esm";"feat support native";"";"";""
"rricher";"this was done";"";"";"";""
"Brandon Ebersohl";"functionality to panels";"collapse functionality to";"added collapse functionality";"";""
"Jerad Maplethorpe";"request #19 from";"pull request #19";"merge pull request";"functionality to panels";"from bebersohl/expandpanel #7"
"daniel-farkas-dev";"rename input to";"input to inputhtml";"";"";""
"Brad Heffernan";"updated calamares config";"";"";"";""
"Lenin Alevski";"when mounting kes";"volume names when";"secrets on minio";"on minio #253";"names when mounting"
"Mark Rousskov";"store public key";"public key locally";"also store public";"";""
"jeffrey d johnson";"setup moved file";"moved file untested";"changed setup moved";"added to readme";""
"Zachary Yedidia";"bracketed paste support";"";"";"";""
"Bennie Chen";"set theme jekyllthememinimal";"";"";"";""
"Wink Saville";"track_pointpy added mkcsvheader";"tests tcs_to_csvpy added";"tcs_to_csvpy added passing";"support for csv";"row track_pointpy added"
"Hawken Rives";"to share a";"to require a";"split apart dprun";"single area/student pair";"share a connection"
"zachhildreth";"previous block hash";"invalid previous block";"removed checking for";"hash from all";"from all db"
"ebisuke";"request #138 from";"pull request #138";"merge pull request";"from ebisuke/develop 説明追加";"#138 from ebisuke/develop"
"Luã Falcão";"user logged menu";"included user logged";"";"";""
"Anderson de Paula Andrade Medeiros";"formulário cadastro candidato";"correções formulário cadastro";"";"";""
"Andreas Duschl";"update header info";"";"";"";""
"Victor Wiebe";"test outstanding untested";"outstanding untested lines";"";"";""
"Vikram B Rojo";"add twitter meta";"twitter meta *";"twitter meta #5";"meta * add";"meta #5 *"
"Bill Zissimopoulos";"version to 20193";"update changelog for";"to 20193 gold";"changelog for v15";"bump version to"
"Beau Sherman";"update rates and";"rates and gallery";"merge branch 'master'";"branch 'master' of";"'master' of https//githubcom/83au/nicoles3dvirtualtours"
"Stefan";"update gnucash from";"to 38b2 #74960";"gnucash from 38b1";"from 38b1 to";"38b1 to 38b2"
"Théo Zimmermann";"s cherry picked";"picked from commit";"missing s cherry";"from commit 2885e5148d155e0db542c66d4257131aef55f75c";"cherry picked from"
"Shruti";"um idk new";"of https//githubcom/inspirationrobotics/inspiration_ftc #";"merge branch 'master'";"idk new constants";"https//githubcom/inspirationrobotics/inspiration_ftc # conflicts"
"Kadeem Jackson";"merge branch 'master'";"branch 'master' of";"'master' of https//githubcom/cro5s/aaclasswork";"";""
"Gustavo Aguiar";"fin de año";"";"";"";""
"João Victor Ramires Guimarães Brito";"validations using joi";"validate on input";"submit button if";"refactoring improve basic";"refactoring extract reusable"
"Nils Uliczka";"port as well";"output port as";"debug output port";"";""
"Dave Kelly";"values for the";"to specify multiple";"to be specified";"the same configuration";"the ability to"
"t1una";"[update] env update";"";"";"";""
"Benoit Goudreault-Emond";"remotetracking branch 'lory90/master'";"merge remotetracking branch";"";"";""
"Daniel Lazur";"up by learn";"backed up by";"automatically backed up";"";""
"sparklyballs";"push back versiontxt";"";"";"";""
"B-Seite";"hoobs accessory configfile";"fix json error";"configfile & fix";"add hoobs accessory";"accessory configfile &"
"Hac";"updates to css";"to css buttons";"reskin 2nd pass";"queries artist post";"pass updates to"
"Lewis Kwong";"player information working";"information working now";"";"";""
"Dicky Herlambang";"unified test lto";"test lto 2";"signedoffby dicky herlambang";"lto 2 signedoffby";"dicky herlambang <herlambangdicky5@gmailcom>"
"Tony Morales";"used from main";"uiviewishidden must be";"must be used";"from main thread";"be used from"
"Karn Kaul";"wrapper for context";"wip add `_glibcxx_debug`";"use raii wrapper";"raii wrapper for";"linux debug builds"
"Brad Anderson";"nav mesh generation";"starts inside a";"prevents a nav";"nav mesh link";"mesh link from"
"Trent Ellingsen";"trade thursday post";"added a trade";"a trade thursday";"";""
"GloriousEggroll";"with proton's custom";"to compile properly";"proton's custom mingw";"properly with proton's";"fixed to compile"
"Emilio";"to the article";"the border to";"the article so";"that i can";"style it more"
"Dmitri";"updated packagejson and";"packagejson and packagelock";"";"";""
"voluble-system-8062";"up by learn";"backed up by";"automatically backed up";"";""
"karleee";"finished phase 5";"";"";"";""
"Tianyue-Zhao";"to be customized";"reomoved home navbar";"files to be";"added profile picture";"added files to"
"Steve B";"to disable button";"select func for";"random select func";"options array added";"logic to disable"
"neotsn neotsn";"updates from 328";"template updates from";"panel template updates";"control panel template";"with current details"
"srmward";"abandon yir article";"";"";"";""
"Sara";"human input/output story";"added human input/output";"";"";""
"azaelthecrak";"sociales je je";"redes sociales je";"menu redes sociales";"";""
"Bental Tagor";"the merging intervals";"merging intervals problem";"implementing the merging";"";""
"Nick Mcco";"add another faq";"";"";"";""
"tsugehara";"request #9 from";"pull request #9";"merge pull request";"from shinonomekazan/ir/2019_3q_201910_201912 第3四半期の決算書を追加";"#9 from shinonomekazan/ir/2019_3q_201910_201912"
"Michael Jackson";"updating itkimageprocessing submodule";"submodule signedoffby michael";"signedoffby michael jackson";"michael jackson <mikejackson@bluequartznet>";"itkimageprocessing submodule signedoffby"
"Rob Culliton";"greetings because feedback";"feedback is important";"because feedback is";"";""
"Chandler King";"organization post route";"an organization post";"added an organization";"";""
"egconley";"with updates to";"updates to hd_dosing";"transfer with updates";"to hd_dosing table";"data transfer with"
"SMC Management Task";"auto publish 20200101";"publish 20200101 005742+0000";"publish 20200101 005730+0000";"";""
"Ethan Teague";"theming home page";"page and footer";"home page and";"";""
"VitorMac10";"new authentication/registration method";"";"";"";""
"Justin Huang";"version of bite";"of bite 31";"interim version of";"bite 31 matmulpy";"add interim version"
"esayson";"files via upload";"add files via";"";"";""
"Fred Hornsey";"indenting on run_command";"fix indenting on";"exception for chdir";"create exception for";"commands to docs/autobuildtxt"
"maxbachmann";"to ghpages from";"ghpages from ghpages";"from ghpages 019f00f2fd90de937e681b51e20d072e85e41aac";"deploying to ghpages";""
"Jessica Bainbridge-Smith";"cassandra seeding complete";"";"";"";""
"yufeng04";"fix bug #11610";"bug #11610 pagination";"#11610 pagination disappear";"";""
"pissang";"typed array #11451";"slice is not";"on typed array";"not defined error";"is not defined"
"Yi Shen";"merge pull request";"typed array #11451";"slice is not";"request #11956 from";"request #11952 from"
"tkeffer@gmail.com";"unit labels to";"to something closer";"to iso standards";"something closer to";"labels to something"
"Penguin-Guru";"trying to fix";"to use git";"to fix onhide";"proper fixes for";"more proper fixes"
"tatcjho";"listo de medicamento";"create listo de";"";"";""
"DAVID SHIN";"up by learn";"backed up by";"automatically backed up";"";""
"Naim Sulejmani";"polygon and point";"pit polygon and";"";"";""
"David";"updated header links";"";"";"";""
"Gabriel Schulhof";"static cast in";"remove static cast";"cast in constructor";"";""
